ref_id,status,source_file,source_name,data_version,normalized_status,region_count,size_x,size_y,size_z,bounding_volume,non_air_blocks,air_blocks,occupancy_ratio,unique_block_states,unique_block_types,palette_entropy,wood_ratio,stone_ratio,glass_ratio,metal_ratio,decorative_ratio,functional_block_ratio,unknown_material_ratio,footprint_area,solid_volume,surface_area_estimate,width_height_ratio,depth_height_ratio,symmetry_x,symmetry_z,exterior_shell_ratio,interior_air_ratio,estimated_floor_count,floor_detection_confidence,usable_floor_area,door_count,exterior_door_candidates,window_count_estimate,stair_count,stair_cluster_count,ladder_count,vertical_access_candidates,walkable_voxels,walkable_components,largest_component_ratio,isolated_space_count,vertical_connections,dead_end_count,ir_source
REF-0011,OK,中世纪酒馆_二.litematic,中世纪酒馆_二,3953,MIGRATED,1,57,51,54,156978,12576,144402,0.080113,404,159,6.570971877809489,0.169768,0.379135,0.0,0.008429,0.056854,0.383747,0.002067,1362,12576,21524,1.1176,1.0588,0.2725,0.421,0.772265,0.008581,1,medium,1313,9,9,0,893,214,37,224,3993,577,0.4265,81,721,624,normalized
REF-0012,OK,中世纪酿酒厂.litematic,中世纪酿酒厂,3465,MIGRATED,1,42,46,67,129444,13062,116382,0.100909,524,171,6.830701330403355,0.438754,0.192237,0.010106,0.009723,0.033685,0.315113,0.000383,1091,13062,18728,0.913,1.4565,0.5309,0.2128,0.415097,0.050477,UNKNOWN,low,UNKNOWN,4,4,132,861,127,55,145,2763,418,0.2588,46,649,452,normalized
REF-0013,OK,中世纪门楼.litematic,中世纪门楼,3465,MIGRATED,1,47,63,51,151011,9587,141424,0.063485,371,106,5.703156431852582,0.304371,0.288411,0.0,0.007927,0.027433,0.370397,0.00146,920,9587,16796,0.746,0.8095,0.5025,0.2128,0.820382,0.005721,UNKNOWN,low,UNKNOWN,4,4,0,612,145,6,149,2839,185,0.3734,47,478,237,normalized
REF-0014,OK,中世纪面包房.litematic,中世纪面包房,3465,MIGRATED,1,71,69,63,308637,17839,290798,0.057799,599,150,6.98029236973105,0.187398,0.34077,0.004036,0.012108,0.031672,0.422782,0.001233,2054,17839,35206,1.029,0.913,0.1516,0.2726,0.875273,0.00117,1,medium,1574,4,4,72,1295,171,30,175,5229,762,0.3205,102,1166,701,normalized
REF-0015,OK,中式塔楼.litematic,中式塔楼,3465,LEGACY_SAFE,1,21,49,21,21609,4877,16732,0.225693,85,21,4.484924660005335,0.221858,0.46381,0.0,0.0,0.0,0.314333,0.0,441,4877,9626,0.4286,0.4286,0.9996,0.9849,0.857084,0.03369,6,high,1226,8,8,0,1064,44,41,45,2123,73,0.5963,7,1426,48,normalized
REF-0016,OK,中式小亭.litematic,中式小亭,3465,MIGRATED,1,21,27,22,12474,751,11723,0.060205,76,21,4.84587559273456,0.177097,0.605859,0.001332,0.002663,0.011984,0.201065,0.0,226,751,1722,0.7778,0.8148,0.3907,0.2729,0.876165,0.0,1,medium,149,0,0,1,108,14,0,14,347,31,0.5793,1,338,12,normalized
REF-0017,OK,中式灯笼路灯.litematic,中式灯笼路灯,3465,MIGRATED,1,3,10,7,210,34,176,0.161905,14,7,3.552733151033162,0.0,0.029412,0.0,0.088235,0.088235,0.794118,0.0,11,34,132,0.3,0.7,1.0,0.7,0.911765,0.0,2,high,19,0,0,0,0,0,0,0,3,3,0.3333,0,0,0,normalized
REF-0018,OK,中式青蛇飞艇.litematic,中式青蛇飞艇,3465,MIGRATED,1,19,20,35,13300,1101,12199,0.082782,123,43,4.470484298388172,0.221617,0.482289,0.008174,0.018165,0.007266,0.259764,0.002725,275,1101,2536,0.95,1.75,0.293,0.4959,0.763851,0.02,1,medium,210,14,14,9,49,12,8,14,418,35,0.5096,5,151,28,normalized
REF-0019,OK,云杉树_中_三.litematic,云杉树_中_三,3465,LEGACY_SAFE,1,16,45,15,10800,1603,9197,0.148426,2,2,0.7072169654254423,0.192764,0.0,0.0,0.0,0.807236,0.0,0.0,152,1603,2370,0.3556,0.3333,0.4546,0.3454,0.62383,0.000556,2,medium,161,0,0,0,0,0,0,0,291,183,0.0241,0,0,114,normalized
REF-0020,OK,伦布里奇要塞.litematic,伦布里奇要塞,4438,LEGACY_SAFE,1,67,23,58,89378,10318,79060,0.115442,70,31,2.270230968246712,0.016379,0.919461,0.00126,0.0,0.023454,0.035957,0.003489,3884,10318,19868,2.913,2.5217,0.9173,0.2923,0.738806,0.027904,1,medium,1272,16,14,13,23,12,38,20,5436,143,0.7684,31,712,146,normalized
REF-0021,OK,八角塔.litematic,八角塔,3700,LEGACY_SAFE,1,63,98,77,475398,19009,456389,0.039985,247,64,5.837939081633928,0.230785,0.509864,0.0,0.022516,0.029302,0.207533,0.0,2513,19009,41300,0.6429,0.7857,0.9951,0.0984,0.913041,4.6e-05,1,medium,1925,152,152,0,1164,328,0,328,7677,726,0.256,109,3720,696,normalized
REF-0022,OK,六角亭.litematic,六角亭,3465,LEGACY_SAFE,1,37,32,35,41440,4013,37427,0.096839,86,30,4.69519015574592,0.191627,0.475704,0.0,0.0,0.079741,0.228009,0.024919,868,4013,8504,1.1562,1.0938,0.9975,0.9886,0.663095,0.041844,3,medium,1321,0,0,0,217,47,0,47,1703,123,0.2319,21,946,178,normalized
REF-0023,OK,农田_一.litematic,农田_一,3465,LEGACY_SAFE,1,9,10,22,1980,318,1662,0.160606,18,9,2.7353110074919242,0.059748,0.393082,0.0,0.0,0.493711,0.037736,0.015723,149,318,644,0.9,2.2,0.6101,0.5143,0.742138,0.0,1,medium,144,0,0,0,0,0,0,0,163,48,0.6442,0,0,19,normalized
REF-0024,OK,冥界之门.litematic,冥界之门,4438,MIGRATED,1,74,63,66,307692,14557,293135,0.04731,26,19,2.670881693212652,0.002404,0.944288,0.0,0.004259,0.04843,0.000618,0.0,3217,14557,29118,1.1746,1.0476,0.7293,0.3742,0.870097,0.030784,1,medium,2819,0,0,0,30,6,11,17,5242,1234,0.3644,43,60,897,normalized
REF-0025,OK,利登赛特要塞.litematic,利登赛特要塞,4438,LEGACY_SAFE,1,44,39,52,89232,11261,77971,0.126199,186,66,4.55450785209678,0.077968,0.789628,0.000266,0.005151,0.024154,0.099725,0.003108,2288,11261,20052,1.1282,1.3333,0.3638,0.3695,0.659444,0.029967,1,medium,722,21,20,3,1011,274,42,279,3894,349,0.6091,17,1079,295,normalized
REF-0026,OK,利维坦号.litematic,利维坦号,3465,MIGRATED,1,192,187,110,3949440,61591,3887849,0.015595,670,202,6.5031665827500635,0.311994,0.25757,0.003588,0.005569,0.014337,0.40691,3.2e-05,4950,61591,132232,1.0267,0.5882,0.1679,0.2212,0.85407,0.000369,UNKNOWN,low,UNKNOWN,13,10,221,2220,579,80,651,18174,5491,0.2624,194,3008,3503,normalized
REF-0027,OK,剑士工会.litematic,剑士工会,3465,MIGRATED,1,51,48,55,134640,11341,123299,0.084232,488,155,6.834598455315426,0.380213,0.198395,0.016489,0.01111,0.02998,0.308527,0.055286,988,11341,16866,1.0625,1.1458,0.5029,0.4032,0.763072,0.000921,UNKNOWN,low,UNKNOWN,4,4,187,921,150,16,152,2694,439,0.3872,38,585,574,normalized
REF-0028,OK,南瓜屋.litematic,南瓜屋,3465,MIGRATED,1,50,79,101,398950,58123,340827,0.14569,225,99,2.831899816609936,0.348588,0.606421,0.001445,8.6e-05,0.012697,0.015553,0.015209,5050,58123,35044,0.6329,1.2785,0.4964,0.7511,0.19722,2.8e-05,1,medium,1879,2,2,84,53,14,0,14,7095,972,0.0615,102,95,857,normalized
REF-0029,OK,双人农田木屋.litematic,双人农田木屋,3465,MIGRATED,1,23,12,23,6348,1218,5130,0.191871,61,31,4.25491695430419,0.119869,0.429392,0.0,0.003284,0.142857,0.304598,0.0,529,1218,2346,1.9167,1.9167,0.4089,0.6218,0.851396,0.0,2,medium,340,0,0,0,27,5,0,5,788,9,0.7843,3,311,10,normalized
REF-0030,OK,双层L型农田木屋.litematic,双层L型农田木屋,3465,LEGACY_SAFE,1,36,17,33,20196,2954,17242,0.146267,108,44,4.615501129761683,0.189235,0.349018,0.046039,0.000339,0.132701,0.282668,0.0,1188,2954,5042,2.1176,1.9412,0.4271,0.5298,0.616791,0.038324,1,medium,449,4,2,136,502,14,0,14,1568,24,0.7341,6,275,32,normalized
REF-0031,OK,双羽木飞船.litematic,双羽木飞船,3465,LEGACY_SAFE,1,35,34,92,109480,10581,98899,0.096648,110,34,3.7922843793077505,0.618184,0.040922,0.020036,0.000756,0.12806,0.191853,0.000189,1787,10581,23056,1.0294,2.7059,0.2883,0.2614,0.906153,0.010057,2,high,2534,0,0,212,500,208,4,209,4817,390,0.377,48,1095,513,normalized
REF-0032,OK,哈利卡纳苏斯陵墓.litematic,哈利卡纳苏斯陵墓,4438,LEGACY_SAFE,1,122,60,170,1244400,69320,1175080,0.055706,274,78,4.981834337546811,0.413546,0.453491,0.0,0.009997,0.093133,0.029833,0.0,20740,69320,100248,2.0333,2.8333,0.5611,0.5827,0.69159,0.008206,2,high,20880,0,0,0,1405,145,0,145,28232,2230,0.7501,44,2091,856,normalized
REF-0033,OK,哨塔_小.litematic,哨塔_小,3465,LEGACY_SAFE,1,9,15,9,1215,340,875,0.279835,93,36,5.2753012266382635,0.164706,0.329412,0.002941,0.002941,0.032353,0.461765,0.005882,81,340,682,0.6,0.6,0.9263,0.9373,0.864706,0.001646,2,high,114,1,1,1,62,5,0,5,138,17,0.4783,2,51,5,normalized
REF-0034,OK,唐屋_大.litematic,唐屋_大,3465,LEGACY_SAFE,1,93,43,84,335916,36818,299098,0.109605,201,59,4.040773759013123,0.109973,0.695828,0.0,0.000435,0.001738,0.192026,0.0,5416,36818,49740,2.1628,1.9535,0.6982,0.2512,0.648053,9.2e-05,1,medium,5323,0,0,0,711,241,40,261,11182,453,0.3112,77,5289,418,normalized
REF-0035,OK,唐屋_小.litematic,唐屋_小,3465,LEGACY_SAFE,1,44,21,26,24024,5080,18944,0.211455,60,26,4.477025236392024,0.100591,0.754528,0.0,0.0,0.0,0.144882,0.0,936,5080,8582,2.0952,1.2381,0.6871,0.2405,0.507283,0.143232,2,high,1366,0,0,0,94,22,0,22,1737,113,0.3115,12,1019,46,normalized
REF-0036,OK,四兵器铁匠铺.litematic,四兵器铁匠铺,4189,MIGRATED,1,134,71,164,1560296,59962,1500334,0.03843,537,153,2.7688063176036337,0.014109,0.249225,0.000984,0.00015,0.637154,0.096211,0.002168,12115,59962,49786,1.8873,2.3099,0.568,0.5867,0.3161,0.000535,1,medium,8165,1,1,59,1488,176,0,176,14883,446,0.481,75,3206,437,normalized
REF-0037,OK,圣亨格勒大教堂.litematic,圣亨格勒大教堂,4438,LEGACY_SAFE,1,53,51,37,100011,8160,91851,0.081591,171,42,4.8850149571536186,0.066667,0.386152,0.06201,0.051716,0.313113,0.120343,0.0,1329,8160,14254,1.0392,0.7255,0.2724,0.4399,0.84277,0.0037,1,medium,926,0,0,506,455,124,0,124,1955,349,0.3995,19,670,211,normalized
REF-0038,OK,圣埃德大教堂.litematic,圣埃德大教堂,3465,LEGACY_SAFE,1,53,80,75,318000,30538,287462,0.096031,229,57,5.007963010946181,0.116118,0.693038,0.03458,0.004552,0.025935,0.125614,0.000164,2959,30538,57552,0.6625,0.9375,0.9935,0.2537,0.844489,0.001786,2,high,3792,0,0,1056,7463,565,220,600,8253,991,0.3979,61,4567,786,normalized
REF-0039,OK,圣彼得里教堂_德国汉堡.litematic,圣彼得里教堂_德国汉堡,3465,LEGACY_SAFE,1,62,108,83,555768,24852,530916,0.044717,329,46,5.256130714035973,0.0,0.876147,0.041606,8e-05,0.010703,0.071463,0.0,5146,24852,44832,0.5741,0.7685,0.9974,0.3497,0.768831,0.024496,1,medium,5146,0,0,1034,4045,223,0,223,8857,899,0.3648,20,3092,516,normalized
REF-0040,OK,地中海岛屿小屋.litematic,地中海岛屿小屋,3953,MIGRATED,1,73,71,75,388725,31100,357625,0.080005,500,181,5.098395045728698,0.045563,0.648264,0.0,0.000868,0.080322,0.069068,0.155916,5475,31100,41166,1.0282,1.0563,0.367,0.2647,0.463408,0.043802,1,medium,5475,2,2,0,509,162,24,180,4763,1088,0.3691,41,1637,938,normalized
REF-0041,OK,壁炉小屋.litematic,壁炉小屋,3465,MIGRATED,1,44,42,52,96096,10236,85860,0.106518,348,126,6.244605578088952,0.375733,0.241305,0.034095,0.006936,0.025791,0.316139,0.0,1245,10236,16096,1.0476,1.2381,0.2578,0.5984,0.8517,0.0,2,high,2017,1,1,349,1636,78,0,78,2858,210,0.3247,31,801,345,normalized
REF-0042,OK,大圣诞树.litematic,大圣诞树,4438,LEGACY_SAFE,1,23,96,23,50784,4934,45850,0.097157,14,6,2.707957513524522,0.240981,0.015809,0.0,0.0,0.74321,0.0,0.0,437,4934,11412,0.2396,0.2396,0.8977,0.889,0.645926,0.094203,5,high,1502,0,0,0,0,0,0,0,2020,285,0.1678,13,0,249,normalized
REF-0043,OK,大型中世纪酒馆.litematic,大型中世纪酒馆,3953,MIGRATED,1,36,57,73,149796,13341,136455,0.089061,280,109,5.642532849285612,0.225845,0.579942,0.008395,0.004722,0.020388,0.160333,0.000375,2628,13341,27472,0.6316,1.2807,0.2623,0.3724,0.868601,0.01472,2,high,3589,1,1,112,1249,109,51,118,5867,354,0.5084,44,789,388,normalized
REF-0044,OK,大型奇幻农舍.litematic,大型奇幻农舍,4438,MIGRATED,1,57,37,56,118104,16035,102069,0.13577,564,262,4.948494577000162,0.076333,0.684939,0.005925,0.010415,0.130215,0.090988,0.001185,3192,16035,16938,1.5405,1.5135,0.4514,0.4119,0.42956,0.003124,1,medium,1651,5,5,95,378,116,58,143,4174,258,0.6054,19,470,255,normalized
REF-0045,OK,大教堂.litematic,大教堂,3465,LEGACY_SAFE,1,133,53,76,535724,43192,492532,0.080624,63,32,3.20510392838417,0.017642,0.717656,0.052602,0.002593,0.003982,0.088327,0.117198,10102,43192,80804,2.5094,1.434,0.2869,0.9868,0.921235,0.002091,1,medium,10102,2,2,2272,418,46,46,50,15565,503,0.6028,117,1120,646,normalized
REF-0046,OK,女巫小屋.litematic,女巫小屋,3953,MIGRATED,1,38,50,50,95000,6636,88364,0.069853,478,161,6.706881174053614,0.155967,0.474382,0.007384,0.021549,0.07836,0.262206,0.000151,806,6636,11750,0.76,1.0,0.2573,0.3099,0.861513,8.4e-05,2,medium,1237,2,2,49,281,57,0,57,1788,329,0.3501,33,321,342,normalized
REF-0047,OK,宁静港湾.litematic,宁静港湾,4189,LEGACY_SAFE,1,46,47,53,114586,5451,109135,0.047571,315,126,5.720890472899911,0.086223,0.404329,0.0,0.001835,0.245826,0.261603,0.000183,1149,5451,8966,0.9787,1.1277,0.4333,0.4373,0.642267,0.001807,1,medium,825,3,3,0,479,30,1,31,1965,155,0.5262,20,475,208,normalized
REF-0048,OK,守卫塔.litematic,守卫塔,3465,MIGRATED,1,18,36,18,11664,1779,9885,0.152521,88,42,4.261239276643243,0.114109,0.636313,0.004497,0.075323,0.071951,0.097808,0.0,324,1779,2854,0.5,0.5,0.3888,0.551,0.60371,0.005487,1,medium,149,2,2,8,80,21,10,24,507,109,0.4517,4,61,97,normalized
REF-0049,OK,小公园橡树.litematic,小公园橡树,4438,LEGACY_SAFE,1,21,16,21,7056,1037,6019,0.146967,47,25,3.2995977162255317,0.103182,0.443587,0.0,0.0,0.428158,0.025072,0.0,441,1037,1794,1.3125,1.3125,0.6356,0.7,0.612343,0.0,1,medium,308,0,0,0,0,0,0,0,506,40,0.7767,4,0,31,normalized
REF-0050,OK,小镇市政厅.litematic,小镇市政厅,4438,MIGRATED,1,61,30,52,95160,15149,80011,0.159195,550,259,6.906354075121683,0.16615,0.588752,0.03855,0.016437,0.094858,0.089511,0.005743,3172,15149,24606,2.0333,1.7333,0.8223,0.1474,0.528418,0.066435,2,high,2676,15,1,584,447,190,9,199,5129,390,0.5227,23,1334,375,normalized
REF-0051,OK,小雪人.litematic,小雪人,3465,LEGACY_SAFE,1,7,9,7,441,106,335,0.240363,13,9,2.5481509557825803,0.018868,0.443396,0.0,0.0,0.0,0.537736,0.0,24,106,202,0.7778,0.7778,0.9813,0.9099,0.773585,0.0,1,medium,21,0,0,0,6,2,0,2,27,11,0.3333,0,0,8,normalized
REF-0052,OK,山川高塔.litematic,山川高塔,3465,MIGRATED,1,19,101,25,47975,7083,40892,0.147639,180,52,4.336581160499712,0.107017,0.814203,0.008471,0.000141,0.011153,0.059015,0.0,468,7083,10090,0.1881,0.2475,0.8443,0.2932,0.628406,0.018489,3,medium,486,1,0,60,733,44,38,47,1361,117,0.435,14,379,83,normalized
REF-0053,OK,巨型云杉塔.litematic,巨型云杉塔,4438,LEGACY_SAFE,1,53,122,52,336232,43598,292634,0.129666,91,22,3.419459641299529,0.329809,0.0692,0.0,0.0,0.509565,0.077205,0.014221,2247,43598,65578,0.4344,0.4262,0.5865,0.4527,0.654594,0.00047,3,medium,2776,0,0,0,99,9,3853,249,9268,1404,0.5194,143,3132,1138,normalized
REF-0054,OK,帆船_小_红白色_二.litematic,帆船_小_红白色_二,3465,LEGACY_SAFE,1,21,21,7,3087,500,2587,0.16197,72,24,5.253996408112105,0.192,0.242,0.0,0.104,0.16,0.302,0.0,97,500,1220,1.0,0.3333,0.2453,0.7921,0.898,0.002268,1,medium,45,0,0,0,54,10,0,10,155,56,0.3742,2,36,37,normalized
REF-0055,OK,平原晶塔.litematic,平原晶塔,3465,MIGRATED,1,9,40,9,3240,577,2663,0.178086,75,22,5.180496232089203,0.0,0.750433,0.109185,0.015598,0.081456,0.036395,0.006932,81,577,1688,0.225,0.225,0.9428,0.9428,0.82149,0.003704,2,high,86,0,0,63,96,45,0,45,184,97,0.2935,0,64,36,normalized
REF-0056,OK,幻想风蓝色飞艇.litematic,幻想风蓝色飞艇,3465,LEGACY_SAFE,1,99,121,154,1844766,42602,1802164,0.023093,316,81,4.35229072103437,0.167387,0.624243,0.0,0.048542,0.001948,0.154242,0.003638,6267,42602,81148,0.8182,1.2727,0.9502,0.031,0.589245,0.018705,UNKNOWN,low,UNKNOWN,2,2,0,1541,462,13,472,13321,2826,0.1748,165,2237,2682,normalized
REF-0057,OK,开花巨树一_大.litematic,开花巨树一_大,3465,LEGACY_SAFE,1,97,98,62,589372,25771,563601,0.043726,10,9,2.072279059783717,0.18936,0.005394,0.00291,0.0,0.802336,0.0,0.0,4020,25771,98898,0.9898,0.6327,0.0583,0.0735,0.912343,0.000226,UNKNOWN,low,UNKNOWN,0,0,75,0,0,0,0,11578,9106,0.001,16,0,3174,normalized
REF-0058,OK,开花巨树二_大.litematic,开花巨树二_大,3465,LEGACY_SAFE,1,69,58,98,392196,14573,377623,0.037157,9,9,2.076274666307489,0.175393,0.00645,0.004392,0.0,0.813765,0.0,0.0,2888,14573,53440,1.1897,1.6897,0.0494,0.044,0.925753,0.000194,UNKNOWN,low,UNKNOWN,0,0,64,0,0,0,0,6250,4588,0.003,22,0,1922,normalized
REF-0059,OK,德鲁伊小屋.litematic,德鲁伊小屋,3465,MIGRATED,1,48,59,55,155760,11061,144699,0.071013,391,141,4.7879558028046665,0.143387,0.575626,0.003255,0.002079,0.138053,0.137239,0.000362,1390,11061,13594,0.8136,0.9322,0.435,0.5683,0.462526,0.000822,1,medium,823,8,6,36,235,111,3,114,2364,454,0.316,37,663,494,normalized
REF-0060,OK,拉面馆.litematic,拉面馆,3953,MIGRATED,1,21,22,19,8778,1565,7213,0.178287,168,73,5.955454032176716,0.175719,0.496486,0.001917,0.00639,0.11246,0.20639,0.000639,399,1565,3034,0.9545,0.8636,0.6117,0.637,0.89393,0.000228,1,medium,399,0,0,3,39,14,5,19,723,36,0.5615,7,321,48,normalized
REF-0061,OK,摆摊.litematic,摆摊,3465,LEGACY_SAFE,1,11,4,5,220,69,151,0.313636,11,8,2.8746570645958918,0.231884,0.0,0.0,0.0,0.449275,0.318841,0.0,36,69,220,2.75,1.25,0.9167,0.4375,0.971014,0.0,2,high,52,0,0,0,0,0,0,0,43,6,0.6977,0,0,10,normalized
REF-0062,OK,教堂_二.litematic,教堂_二,3953,MIGRATED,1,82,68,51,284376,15283,269093,0.053742,355,98,5.640956543268908,0.125172,0.592685,0.047765,0.077472,0.040503,0.116404,0.0,2185,15283,26318,1.2059,0.75,0.3705,0.9874,0.424393,0.084768,1,medium,1327,45,42,730,1175,180,0,180,4022,705,0.3312,66,826,617,normalized
REF-0063,OK,斗兽场.litematic,斗兽场,4438,LEGACY_SAFE,1,55,25,50,68750,11518,57232,0.167535,23,7,1.9024693139309177,0.001389,0.825751,0.043758,0.0,0.0,0.129102,0.0,1990,11518,22762,2.2,2.0,0.27,0.9934,0.907015,0.000291,4,high,5034,0,0,504,720,20,0,20,4665,113,0.6407,37,1384,178,normalized
REF-0064,OK,旋风忍术修道院.litematic,旋风忍术修道院,4189,MIGRATED,1,74,39,76,219336,16212,203124,0.073914,372,141,5.395129974960185,0.041944,0.692573,0.0,0.003763,0.094436,0.167222,6.2e-05,2645,16212,17084,1.8974,1.9487,0.6262,0.4291,0.404392,0.002772,1,medium,2184,3,3,0,842,74,112,126,4047,307,0.2987,37,1787,353,normalized
REF-0065,OK,日式仓库.litematic,日式仓库,4189,LEGACY_SAFE,1,24,18,20,8640,2469,6171,0.285764,105,47,5.133761091365542,0.235723,0.556501,0.0,0.0,0.042932,0.164844,0.0,480,2469,3366,1.3333,1.1111,0.5786,0.49,0.577157,0.006134,3,medium,490,0,0,0,107,8,6,9,724,42,0.471,7,274,37,normalized
REF-0066,OK,日式宝塔.litematic,日式宝塔,4189,MIGRATED,1,47,60,50,141000,12926,128074,0.091674,154,42,5.58002795046912,0.31162,0.236887,0.000928,0.000928,0.049822,0.399814,0.0,1529,12926,20918,0.7833,0.8333,0.5762,0.6954,0.654108,0.035078,4,high,4308,0,0,12,1436,53,0,53,3831,129,0.2073,24,1756,30,normalized
REF-0067,OK,日式宫殿.litematic,日式宫殿,3465,LEGACY_SAFE,1,68,48,72,235008,35203,199805,0.149795,67,17,2.8630794706737497,0.253927,0.517427,0.0,0.0,0.082493,0.146152,0.0,3111,35203,36280,1.4167,1.5,0.2717,0.2222,0.505071,0.001362,1,medium,2060,29,29,0,3398,23,23,27,9454,40,0.8262,16,3266,85,normalized
REF-0068,OK,日式寺院.litematic,日式寺院,4189,LEGACY_SAFE,1,42,37,94,146076,10844,135232,0.074235,257,69,4.2676235404072145,0.108078,0.769273,0.001475,0.000738,0.00332,0.117115,0.0,2031,10844,12254,1.1351,2.5405,0.8113,0.0945,0.538362,0.003478,1,medium,1896,0,0,16,653,43,0,43,3337,56,0.5172,15,993,73,normalized
REF-0069,OK,日式门楼.litematic,日式门楼,4189,MIGRATED,1,67,51,34,116178,13873,102305,0.119412,236,52,6.127365455815981,0.345419,0.274058,0.000288,0.000577,0.027536,0.352123,0.0,1733,13873,22886,1.3137,0.6667,0.4982,0.6154,0.778923,0.017594,3,high,2676,12,12,4,1100,75,52,81,4493,379,0.1847,69,1832,364,normalized
